Id;param_id;time;channel;amplitude;duration;energy;rms;status;threshold;rise_time;counts;trai;spectral_centroid_khz;peak_frequency_khz;clearance_factor;crest_factor;impulse_factor;kurtosis;partial_power_100_400khz;shape_factor;skewness;spectral_entropy;spectral_flatness;spectral_kurtosis;spectral_peak_frequency_hz;spectral_rolloff_hz
1361;3;6468.179606199999;2;78.0;218.2;204078.369140625;3058.7;32768;69.9;16.3;10;66;54.8;24.4;14.65;5.91;9.92;9.24;0.1496;1.68;-0.37;0.6055;0.022;66.61;24414.1;132812.5
1370;3;6506.2171871;2;107.4;3987.3;193395968.01757812;22023.2;32768;69.9;69.5;159;67;58.5;58.6;10.75;5.6;8.18;6.91;0.1316;1.46;0.07;0.5674;0.0001;3.32;58593.8;129882.8
1371;2;6506.2172167;1;111.0;6503.1;1081776971.1914062;40785.9;32768;69.9;116.9;58;68;28.0;2.7;462.55;19.44;102.25;112.3;0.0135;5.26;0.79;0.4918;0.0301;38.16;2716.1;27710.0
1426;3;6778.0568066999995;2;75.7;78.6;100516.845703125;3575.8;32768;69.9;6.6;5;69;114.4;73.2;25.44;6.47;13.25;13.4;0.1155;2.05;-0.46;0.6641;0.0923;17.33;73242.2;484375.0
1429;2;6790.1977096;1;70.7;2.1;37973.14453125;13447.2;32768;69.9;1.0;1;70;477.7;0.6;84.0;20.92;37.91;66.3;0.2723;1.81;-0.46;0.9511;0.5362;1.66;610.4;958801.3
1472;3;6996.4612652;2;82.4;199.8;297355.46875;3857.4;32768;69.9;27.9;13;71;96.5;126.0;25.01;7.75;15.21;16.9;0.3945;1.96;-0.08;0.6684;0.031;56.75;125976.6;142578.1
1475;2;7006.3540646;1;79.4;621.1;853765.625;3707.9;32768;69.9;60.6;14;72;448.5;0.5;140.89;17.97;56.71;104.4;0.2587;3.16;-1.56;0.9368;0.5098;1.63;549.3;955535.9
1476;3;7006.354104399999;2;77.1;232.0;280260.25390625;3475.5;32768;69.9;98.3;21;73;113.1;127.0;9.54;4.39;6.86;6.5;0.7715;1.56;0.05;0.4135;0.0174;67.84;126953.1;133789.1
1495;2;7103.0722085;1;71.8;83.8;107302.490234375;3577.9;32768;69.9;81.6;2;74;477.7;2.8;87.72;18.63;38.78;64.36;0.2744;2.08;0.09;0.9506;0.5345;1.67;2777.1;959075.9
1512;3;7183.5150053;2;70.3;1.8;67992.1875;19435.5;32768;69.9;0.1;1;75;31.8;14.6;7.89;4.31;5.99;5.07;0.0091;1.39;0.48;0.3766;0.023;51.16;14648.4;26367.2
1515;3;7188.1161489;2;71.5;7.0;91634.521484375;11441.2;32768;69.9;3.5;1;76;32.6;13.7;8.47;4.05;6.03;5.31;0.0094;1.49;0.37;0.4042;0.0231;51.35;13671.9;27343.8
1516;3;7192.717022899999;2;70.3;41.0;82115.234375;4474.9;32768;69.9;0.1;2;77;35.3;13.7;8.16;3.96;5.86;5.69;0.0106;1.48;0.6;0.4158;0.0271;44.04;13671.9;28320.3
1519;3;7197.3172256;2;71.8;45.7;110903.80859375;4926.5;32768;69.9;40.1;2;78;31.0;24.4;8.35;3.97;5.94;5.33;0.0071;1.5;0.41;0.39;0.0183;66.24;24414.1;26367.2
1522;3;7206.5206006;2;71.1;41.8;87308.10546875;4570.1;32768;69.9;38.2;2;79;35.0;25.4;8.86;4.1;6.22;5.75;0.011;1.52;0.33;0.403;0.0238;50.36;25390.6;27343.8
1525;3;7221.7993325;2;76.7;139.4;131184.08203125;3067.9;32768;69.9;5.0;7;80;97.5;69.3;21.25;6.42;12.25;13.29;0.2383;1.91;0.03;0.6039;0.0512;36.63;69335.9;154296.9
1530;3;7238.7359896;2;71.8;8.0;65281.73828125;9033.7;32768;69.9;3.6;1;81;40.9;25.4;11.02;4.87;7.57;7.49;0.0154;1.55;0.67;0.3853;0.0304;41.27;25390.6;28320.3
1535;3;7257.139977;2;72.5;27.8;90441.40625;5703.7;32768;69.9;21.9;1;82;34.2;24.4;9.65;4.64;6.94;6.64;0.0072;1.5;0.39;0.348;0.0168;70.08;24414.1;27343.8
1550;3;7327.949415;2;73.1;553.6;224651.3671875;2014.2;32768;69.9;425.1;5;83;24.6;25.4;5.35;3.13;4.18;3.54;0.0013;1.33;0.03;0.3676;0.003;557.74;25390.6;26367.2
1551;3;7330.7455659;2;70.3;4.3;87050.78125;14228.5;32768;69.9;0.1;1;84;35.0;23.4;7.73;3.58;5.32;4.68;0.0092;1.49;0.29;0.3379;0.0188;62.95;23437.5;25390.6
1552;3;7335.346387799999;2;74.5;591.8;261188.720703125;2101.2;32768;69.9;416.5;4;85;23.5;23.4;5.55;3.45;4.54;3.77;0.0011;1.31;0.37;0.3483;0.0026;601.63;23437.5;28320.3
1561;3;7373.9597458;2;71.8;28.7;83566.162109375;5396.5;32768;69.9;2.0;1;86;51.8;25.4;11.23;4.17;7.01;7.0;0.019;1.68;-0.14;0.3768;0.0403;30.53;25390.6;130859.4
1578;3;7451.8642517;2;80.7;270.9;373129.39453125;3711.0;32768;69.9;76.3;15;87;81.4;70.3;16.44;5.73;10.37;10.81;0.2;1.81;0.07;0.567;0.0164;108.42;70312.5;129882.8
1595;2;7526.704992999999;1;70.3;3.9;84528.564453125;14722.0;32768;69.9;0.1;1;88;491.0;70.0;78.92;16.99;34.72;68.4;0.2787;2.04;0.28;0.9551;0.5466;1.68;70037.8;961029.1
1598;2;7540.623160599999;1;73.4;543.5;287318.115234375;2298.9;32768;69.9;257.5;3;89;478.0;2.0;87.21;14.92;37.18;67.09;0.2773;2.49;-1.98;0.9521;0.5378;1.66;1983.6;958557.1
1599;2;7545.2529663;1;81.3;1045.0;1214025.634765625;3408.9;32768;69.9;555.1;11;90;468.1;1.5;161.53;18.67;60.72;87.88;0.2607;3.25;0.78;0.9451;0.5228;1.64;1495.4;960449.2
1600;3;7545.2534955;2;71.8;132.7;101152.34375;2760.7;32768;69.9;125.9;2;91;32.9;12.7;8.73;4.05;6.21;6.64;0.0098;1.53;0.36;0.4295;0.0232;55.63;12695.3;57617.2
1603;3;7551.6368428999995;2;71.1;98.9;101533.69140625;3204.1;32768;69.9;61.0;2;92;25.0;4.9;6.99;3.66;5.24;5.26;0.0095;1.43;0.27;0.4131;0.022;58.0;4882.8;28320.3
1608;3;7570.0706591;2;80.5;953.2;903980.95703125;3079.2;32768;69.9;395.9;15;93;25.8;27.3;6.08;3.82;5.03;4.34;0.0036;1.32;0.25;0.4517;0.0013;770.85;27343.8;37109.4
1609;2;7573.6980581;1;75.9;889.0;492919.677734375;2355.2;32768;69.9;852.6;4;94;375.2;1.3;96.05;14.97;40.24;58.69;0.2186;2.69;-0.29;0.8841;0.4347;1.68;1251.2;944580.1
1612;3;7576.4093936;2;83.1;708.8;902718.26171875;3568.6;32768;69.9;39.4;17;95;24.9;24.4;8.45;4.88;6.66;4.52;0.0012;1.36;0.4;0.4518;0.0014;793.77;24414.1;48828.1
1613;3;7581.0082661999995;2;70.3;5.5;75638.427734375;11726.8;32768;69.9;0.1;0;96;26.3;13.7;7.62;3.87;5.65;5.57;0.0077;1.46;-0.47;0.3844;0.02;63.35;13671.9;18554.7
1614;2;7582.881447299999;1;70.7;4.3;147858.88671875;18543.6;32768;69.9;2.6;1;97;483.2;0.5;67.22;13.98;29.88;41.77;0.2686;2.14;-0.01;0.9523;0.5422;1.67;549.3;961242.7
1617;3;7585.6131243;2;76.3;762.9;529500.732421875;2634.8;32768;69.9;515.4;10;98;25.3;24.4;4.59;3.1;3.87;3.0;0.0015;1.25;0.26;0.437;0.0025;601.42;24414.1;51757.8
1618;3;7590.2144497;2;77.7;461.6;271062.01171875;2422.8;32768;69.9;29.0;7;99;24.9;14.6;8.44;4.93;6.79;5.96;0.0038;1.38;0.02;0.4629;0.0074;210.9;14648.4;59570.3
1619;3;7593.0179682;2;71.8;7.8;141504.8828125;13468.7;32768;69.9;3.4;0;100;19.1;14.6;4.89;3.28;4.09;2.86;0.0034;1.25;-0.27;0.3736;0.0077;165.17;14648.4;17578.1
1620;3;7594.8191644;2;88.0;1150.0;3301596.435546875;5358.6;32768;69.9;41.7;29;101;34.5;24.4;7.71;4.51;6.18;5.46;0.0065;1.37;0.1;0.5171;0.0009;173.93;24414.1;88867.2
1623;2;7596.6823852;1;71.8;729.4;341340.8203125;2163.7;32768;69.9;481.2;4;102;486.0;0.5;63.37;11.3;26.69;34.83;0.2812;2.36;0.48;0.9527;0.5368;1.66;549.3;963958.7
